scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme,min_zoom,ne_id
"10","1","8",Admin-1 capital,Colonia del Sacramento,,,"0",Colonia del Sacramento,0.00000000000,"0",,0.00000000000,"0",Uruguay,URY,Uruguay,URY,Colonia,UY,,-34.47999900540,-57.84000247340,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"21714","21714","0","7","7",3443013.00000000000,,,"0","0",9.0,"1159112629"
"10","1","8",Admin-1 capital,Trinidad,,,"0",Trinidad,0.00000000000,"0",,0.00000000000,"0",Uruguay,URY,Uruguay,URY,Flores,UY,,-33.54399893740,-56.90099656020,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"21093","21093","0","7","7",3439749.00000000000,,,"0","0",9.0,"1159112647"
"10","1","8",Admin-1 capital,Fray Bentos,,,"0",Fray Bentos,0.00000000000,"0",,0.00000000000,"0",Uruguay,URY,Uruguay,URY,Río Negro,UY,,-33.13899902880,-58.30399747190,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"23279","23279","0","7","7",3442568.00000000000,,,"0","0",9.0,"1159112663"
"10","1","8",Admin-1 capital,Canelones,,,"0",Canelones,0.00000000000,"0",,0.00000000000,"0",Uruguay,URY,Uruguay,URY,Canelones,UY,,-34.53800400670,-56.28400149320,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"19698","19698","0","6","6",3443413.00000000000,,,"0","0",9.0,"1159112679"
"10","1","8",Admin-1 capital,Florida,,,"0",Florida,0.00000000000,"0",,0.00000000000,"0",Uruguay,URY,Uruguay,URY,Florida,UY,,-34.09900200520,-56.21499844800,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"32234","32234","0","7","7",3442585.00000000000,,,"0","0",7.0,"1159112703"
"10","1","8",Admin-1 capital,Bassar,,,"0",Bassar,0.00000000000,"0",,0.00000000000,"0",Togo,TGO,Togo,TGO,Kara,TG,,9.26100006832,0.78900357378,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"61845","61845","0","8","8",2367568.00000000000,,,"0","0",9.0,"1159112719"
"10","1","8",Admin-1 capital,Sotouboua,,,"0",Sotouboua,0.00000000000,"0",,0.00000000000,"0",Togo,TGO,Togo,TGO,Centre,TG,,8.55700213306,0.98499646233,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"21054","21054","0","7","7",2364079.00000000000,,,"0","0",7.0,"1159112735"
"10","1","7",Admin-1 capital,Medenine,,,"0",Medenine,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,MUdenine,TN,,33.39999900250,10.41669955760,4.00000000000,"1",Added missing admin-1 capital.,"61705","61705","0","8","8",-1.00000000000,,,"0","0",6.1,"1159112749"
"10","1","7",Admin-1 capital,Kebili,,,"0",Kebili,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Kebili,TN,,33.68999703490,8.97100253790,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"19875","19875","0","6","6",2468018.00000000000,,,"0","0",9.0,"1159112765"
"10","1","7",Admin-1 capital,Tataouine,,,"0",Tataouine,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Tataouine,TN,,33.00000315430,10.46670358940,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"62577","62577","0","8","8",2464701.00000000000,,,"0","0",9.0,"1159112779"
"10","1","7",Admin-1 capital,L'Ariana,,,"0",L'Ariana,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Manubah,TN,,36.86667315340,10.19999754750,4.00000000000,"1",Added missing admin-1 capital.,"97687","97687","0","8","8",2473247.00000000000,,,"0","0",8.0,"1159112795"
"10","1","7",Admin-1 capital,Jendouba,,,"0",Jendouba,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Jendouba,TN,,36.50000405940,8.74999861458,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"51408","51408","0","8","8",2470088.00000000000,,,"0","0",9.0,"1159112811"
"10","1","7",Admin-1 capital,Kasserine,,,"0",Kasserine,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Kasssrine,TN,,35.21670310480,8.71669850332,4.00000000000,"1",Added missing admin-1 capital.,"76243","76243","0","8","8",-1.00000000000,,,"0","0",9.0,"1159112827"
"10","1","7",Admin-1 capital,Sdid Bouzid,,,"0",Sdid Bouzid,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Sidi Bou Zid,TN,,35.01669607910,9.50000448226,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"42098","42098","0","7","7",2465840.00000000000,,,"0","0",7.0,"1159112843"
"10","1","7",Admin-1 capital,Siliana,,,"0",Siliana,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Siliana,TN,,36.08330412520,9.38330159966,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"26960","26960","0","7","7",2465030.00000000000,,,"0","0",9.0,"1159112859"
"10","1","7",Admin-1 capital,Mahdia,,,"0",Mahdia,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Mahdia,TN,,35.48391304450,11.04087661530,4.00000000000,"1",Added missing admin-1 capital.,"45977","45977","0","7","7",-1.00000000000,,,"0","0",8.0,"1159112873"
"10","1","7",Admin-1 capital,Monastir,,,"0",Monastir,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Monastir,TN,,35.73070213520,10.76729456190,4.00000000000,"1",Added missing admin-1 capital.,"71546","41400","0","8","7",2473493.00000000000,,,"0","0",7.0,"1159112893"
"10","1","7",Admin-1 capital,Zaghouan,,,"0",Zaghouan,0.00000000000,"0",,0.00000000000,"0",Tunisia,TUN,Tunisia,TUN,Zaghouan,TN,,36.39999616130,10.14699660660,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"16911","16911","0","6","6",2464041.00000000000,,,"0","0",9.0,"1159112913"
"10","1","5",Admin-1 capital,Tây Ninh,,,"0",Tay Ninh,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Tây Ninh,VN,,11.32299910940,106.14699968300,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"126370","126370","0","9","9",1566559.00000000000,,,"0","0",8.0,"1159112935"
"10","1","5",Admin-1 capital,Luan Chau,,,"0",Luan Chau,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Vi?n Bi,VN,,21.74000399190,103.34300468000,4.00000000000,"1",Added missing admin-1 capital.,"7335","7335","0","5","5",-1.00000000000,,,"0","0",8.0,"1159112955"
"10","1","5",Admin-1 capital,Bắc Kạn,,,"0",Bac Kan,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Ðông B?c,VN,,22.13333330000,105.83333330000,4.00000000000,"0",Added missing admin-1 capital round B. Population from GeoNames.,"29227","29227","0","7","7",1591538.00000000000,,,"0","0",9.0,"1159112975"
"10","1","5",Admin-1 capital,Lạng Sơn,,,"0",Lang Son,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,L?ng Son,VN,,21.84599710300,106.75700157600,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"148000","148000","0","9","9",1576633.00000000000,,,"0","0",9.0,"1159112987"
"10","1","5",Admin-1 capital,Sơn La,,,"0",Son La,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Son La,VN,,21.32800213870,103.91000465100,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"19054","19054","0","6","6",1567681.00000000000,,,"0","0",8.0,"1159113001"
"10","1","5",Admin-1 capital,Tuyên Quang,,,"0",Tuyen Quang,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Tuyên Quang,VN,,21.81799809530,105.21099961500,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"36430","36430","0","7","7",1563287.00000000000,,,"0","0",9.0,"1159113019"
"10","1","5",Admin-1 capital,Yên Bái,,,"0",Yen Bai,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Yên Bái,VN,,21.70500303950,104.87500258600,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"96540","96540","0","8","8",1560349.00000000000,,,"0","0",8.0,"1159113041"
"10","1","5",Admin-1 capital,Hai Duong,,,"0",Hai Duong,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,H?i Duong,VN,,20.94200107820,106.33100460400,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"58030","58030","0","8","8",1581326.00000000000,,,"0","0",9.0,"1159113057"
"10","1","5",Admin-1 capital,Thái Bình,,,"0",Thai Binh,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,ThMi Bmnh,VN,,20.45030411510,106.33302962800,4.00000000000,"1",Added missing admin-1 capital.,"210000","210000","0","10","10",1566346.00000000000,,,"0","0",8.0,"1159113073"
"10","1","5",Admin-1 capital,Tuy Hòa,,,"0",Tuy Hoa,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Phú Yên,VN,,13.08200402430,109.31599868400,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"69596","69596","0","8","8",1563281.00000000000,,,"0","0",7.0,"1159113089"
"10","1","5",Admin-1 capital,Thu Dau Mot,,,"0",Thu Dau Mot,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Bình Duong,VN,,10.96907407740,106.65274554700,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"244277","244277","0","10","10",1565022.00000000000,,,"0","0",9.0,"1159113099"
"10","1","5",Admin-1 capital,Đông Hà,,,"0",Dong Ha,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Qu?ng Tr?,VN,,16.84999810320,107.13330066100,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"17662","17662","0","6","6",1582926.00000000000,,,"0","0",9.0,"1159113119"
"10","1","5",Admin-1 capital,Cao Lãnh,,,"0",Cao Lanh,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,Ð?ng Tháp,VN,,10.46700013050,105.63599756200,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"149837","149837","0","9","9",1586151.00000000000,,,"0","0",9.0,"1159113135"
"10","1","5",Admin-1 capital,Truc Giang,,,"0",Truc Giang,0.00000000000,"0",,0.00000000000,"0",Vietnam,VNM,Vietnam,VNM,B?n Tre,VN,,10.23499799780,106.37499661500,4.00000000000,"1",Added missing admin-1 capital. Population from GeoNames.,"59442","59442","0","8","8",1587976.00000000000,,,"0","0",8.0,"1159113149"
